Nom 1|Nom 2|Nom latin|Nom anglais|Ordre:famille|Taille|Catégorie|Catégorie2|Bec forme|Bec couleur|bec couleur 2|Pattes|pattes couleur 2|Signe distinctif|Couleur dominante|Tache de couleur|Commentaires|Habitat et comportement Répartition géographique|Habitat1|Habitat2|Scientifique2|FIN
Fuligule milouinan||Aythya marila|Greater Scaup|ANSERIFORMES: Anatidae|48|Cygnes, oies, canards||canard|noir|||||gris||Tête et croupion noirs. Dos gris marbré. Flancs blancs. Bec gris. La femelle est d'un brun très sombre. Elle se distingue de la femelle du morillon par une tache blanche à la base du bec. Oeil jaune.||Bords de rivières, zones humides|Littoral||FIN
Fuligule morillon||Aythya fuligula|Tufted Duck|ANSERIFORMES: Anatidae|43|Cygnes, oies, canards||canard|noir||||huppe|noir|blanc|Entièrement noir à l'exception des flancs blancs. Petite huppe chez le mâle. La femelle est d'un brun très sombre. Bec gris à bout noir. Oeil jaune.||Bords de rivières, zones humides|||FIN
Fuligule nyroca||Aythya nyroca|Ferruginous Duck|ANSERIFORMES: Anatidae|41|Cygnes, oies, canards||canard|noir|||||brun||Tête et flancs brun roux. Dos plus sombre. Croupion blanc. La femelle est plus terne. Bec gris à bout noir.||Bords de rivières, zones humides|||FIN
Fulmar boréal|Fulmar glacial|Fulmarus glacialis|Northern Fulmar|PROCELLARIIFORMES: Procellariidae|47|Mouettes, goéland, fulmars||mouette|jaune|||||gris||Tête et ventre blancs. Dos gris. Bec jaunâtre.||Littoral|||FIN
Gallinule poule-d'eau||Gallinula chloropus|Common Moorhen|GRUIFORMES: Rallidae|35|Râles, marouettes, poules d'eau||autres becs droits|rouge/orange|jaune|vert|||noir|blanc|Entièrement noir, sauf le croupion blanc et une ligne blanche sur le flanc. Bec rouge à bout jaune. Pattes verdâtres.||Bords de rivières, zones humides|||FIN
Ganga cata||Pterocles alchata|Pin-tailed Sandgrouse|PTEROCLIDIFORMES: Pteroclidae|35|Autres||épais et court|noir|||||brun|rouge/orange|Tête et gorge rousses, soulignées par des bandes noires. Bandes noires au niveau de l'oeil et du menton. Dos à écailles brunes, jaunes, bleutées et noires. Ventre blanc.||Milieu sec ou désertique|||FIN
Ganga unibande||Pterocles orientalis|Black-bellied Sandgrouse|PTEROCLIDIFORMES: Pteroclidae|35|Autres||épais et court|noir|||||brun|rouge/orange|Tête et gorge gris brun. Tache rousse et noire au niveau du menton. Bande noire sur la poitrine. Bas du ventre noir. Dos moucheté gris brun.||Milieu sec ou désertique|||FIN
Garrot à oeil d'or||Bucephala clangula|Common Goldeneye|ANSERIFORMES: Anatidae|46|Cygnes, oies, canards||canard|noir|||||noir|blanc|Tête noire avec une tache blanche près du bec. Gorge, ventre et flancs blancs, rayés de quelques plumes noires. Dos noir. Bec noir. Pattes oranges. Oeil jaune.||Bords de rivières, zones humides|Littoral||FIN
Garrot d'Islande||Bucephala islandica|Barrow's Goldeneye|ANSERIFORMES: Anatidae|53|Cygnes, oies, canards||canard|noir|||||noir|blanc|Tête et dos noirs. Gorge et flancs blancs. Grande tache blanche entre l'oeil et le bec. Ligne de points blancs sur l'aile. Oeil jaune. Bec noir. Pattes orange.||Bords de rivières, zones humides|||FIN
Geai des chênes||Garrulus glandarius|Eurasian Jay|PASSERIFORMES: Corvidae|34|Corvidés||autres becs droits|noir||rouge/orange|||brun|bleu|Tête, dos et ventre bruns. Oeil bleu. Moustaches noires, menton blanc. Bout des ailes et queue noirs. Plumes d'un bleu brillant sur les ailes. Bec épais et noir.||Villes, villages, jardins|Forêts et landes||FIN
Gélinotte des bois||Tetrastes bonasia|Hazel Grouse|GALLIFORMES: Phasianidae|35|Gallinacés||épais et court|noir||blanc|||brun|noir|Tache noire bordée de blanc au niveau du menton. Sourcils rouges, discrets. Ventre à écailles brunes, noires et blanches. Dos gris brun. Bec noir, court et épais. La femelle n'a pas de tache noire et est plus terne.||Forêts et landes||Bonasa bonasia|FIN
Glaréole à collier||Glareola pratincola|Collared Pratincole|CHARADRIIFORMES: Glareolidae|25|Limicoles||crochu|noir|||||brun||Dos et tête brun-gris. Ventre blanc. Au niveau du menton, tache crème cernée de noir. Petite marque rouge sous le bec. Bec noir.||Bords de rivières, zones humides|||FIN
Gobemouche à collier||Ficedula albicollis|Collared Flycatcher|PASSERIFORMES: Muscicapidae|13|Passereaux||fin et court|noir||noir|||noir|blanc|Dos et tête noirs. Tache blanche au-dessus du bec. Large collier blanc. Ventre blanc. Marques blanches sur les ailes, dont le bout est brun. Bec et pattes noirs.||Forêts et landes|||FIN
Gobemouche à demi-collier||Ficedula semitorquata|Semicollared Flycatcher|PASSERIFORMES: Muscicapidae|13|Passereaux||fin et court|noir||noir|||noir|blanc|Dos et tête noirs. Tache blanche au-dessus du bec. Demi-collier blanc. Ventre blanc. Marques blanches sur les ailes, dont le bout est brun. Bec et pattes noirs.||Forêts et landes|||FIN
Gobemouche gris||Muscicapa striata|Spotted Flycatcher|PASSERIFORMES: Muscicapidae|15|Passereaux||fin et court|noir|||||gris||Corps brun gris. Ventre plus pâle que le dos. Tête légèrement striée. Bec et pattes noirs. ||Forêts et landes|Villes, villages, jardins||FIN
Gobemouche nain||Ficedula parva|Red-breasted Flycatcher|PASSERIFORMES: Muscicapidae|11|Passereaux||fin et court|noir|||||brun|rouge/orange|Dos gris brun. Ventre blanc. Joues et tour de l'oeil gris. Gorge rousse. Petit bec noir et fin. Pattes noires.||Forêts et landes|||FIN
Gobemouche noir||Ficedula hypoleuca|European Pied Flycatcher|PASSERIFORMES: Muscicapidae|13|Passereaux||fin et court|noir||noir|||noir|blanc|Corps brun sombre. Tache blanche au-dessus du bec. Ventre et gorge blancs. Bout des ailes blanc.||Forêts et landes|||FIN
Goéland à ailes blanches|Goéland leucoptère|Larus glaucoides|Iceland Gull|CHARADRIIFORMES: Laridae|60|Mouettes, goéland, fulmars||mouette||||||blanc||Les jeunes sont brun clair. Les adultes sont blanc crème. Bec noirâtre. Pattes jaunes.||Littoral|||FIN
Goéland argenté||Larus argentatus|Herring Gull|CHARADRIIFORMES: Laridae|60|Mouettes, goéland, fulmars||mouette|jaune|rouge/orange||||gris||Tête, nuque et ventre blancs. Dos et ailes gris. Bouts des ailes noirs avec des taches blanches. Bec jaune avec une marque rouge sur la mandibule inférieure. Oeil jaune.||Littoral|||FIN
Goéland bourgmestre||Larus hyperboreus|Glaucous Gull|CHARADRIIFORMES: Laridae|73|Mouettes, goéland, fulmars||mouette|jaune|rouge/orange|rose|||blanc||Corps majoritairement blanc. Ailes gris pâle sans marque noire. Bec jaune avec une tache sur la mandibule inférieure. Pattes roses. Oeil jaune.||Littoral|||FIN
Goéland brun||Larus fuscus|Lesser Black-backed Gull|CHARADRIIFORMES: Laridae|55|Mouettes, goéland, fulmars||mouette|jaune|rouge/orange|jaune|||gris||Tête et ventre blancs. Ailes et dos gris foncé. Bouts des ailes noirs avec des points blancs. Bec jaune avec une tache rouge sur la mandibule inférieure. Oeil jaune. Diffère du goéland marin par ses pattes jaunes.||Littoral|||FIN
Goéland cendré||Larus canus|Mew Gull|CHARADRIIFORMES: Laridae|41|Mouettes, goéland, fulmars||mouette|jaune||jaune|||gris|noir|Tête et ventre blancs. Dos gris. Bout des ailes noir avec des taches blanches. Pas de rouge sur le bec. Pattes jaunes.||Littoral|Bords de rivières, zones humides||FIN
Goéland d'Audouin||Ichthyaetus audouinii|Audouin's Gull|CHARADRIIFORMES: Laridae|50|Mouettes, goéland, fulmars||mouette|rouge/orange|noir||||gris|noir|Tête et ventre blancs. Dos gris. Bout des ailes noir presque sans taches blanches. Bec rouge à bout noirâtre.||Littoral|Milieu méditerranéen|Larus audouinii|FIN
Goéland marin||Larus marinus|Great Black-backed Gull|CHARADRIIFORMES: Laridae|70|Mouettes, goéland, fulmars||mouette|jaune|rouge/orange||||noir||Tête et ventre blancs. Dos gris noir, bord des ailes blanc. Bec jaune avec une tache rouge sur la mandibule inférieure. Diffère du goéland brun par ses pattes rosâtres et sa grande taille.|Côtes, îles rocheuses et plages. Migrateur partiel.|Littoral|||FIN
Gorgebleue à miroir||Luscinia svecica|Bluethroat|PASSERIFORMES: Muscicapidae|14|Passereaux||fin et court|noir|||||brun|bleu|Dos et tête bruns. Ventre grisâtre. Sourcils blancs. Nuque grisâtre. Gorge bleue avec à l'intérieur une tache blanche ou rouge. Plastron orangé et tache orangée au niveau de la queue. Pas de bleu chez la femelle. Bec noir et pattes noires.||Bords de rivières, zones humides|||FIN
Grand Corbeau||Corvus corax|Common Raven|PASSERIFORMES: Corvidae|64|Corvidés||autres becs droits|noir||noir|||noir||Intégralement noir. Bec épais, couvert d'un duvet noir à la base.||Montagnes et roches|Littoral||FIN
Grand Cormoran||Phalacrocorax carbo|Great Cormorant|SULIFORMES: Phalacrocoracidae|90|Fous, cormorans, pélicans||mouette|||noir|||noir|blanc|Tête et ventre noirs. Dos brun sombre, irisé. Bec épais, blanchâtre, jaune à la base. Tache blanche au niveau de la joue. Oeil vert.||Littoral|Bords de rivières, zones humides||FIN
Grand gravelot||Charadrius hiaticula|Common Ringed Plover|CHARADRIIFORMES: Charadriidae|19|Limicoles||fin et court|rouge/orange|noir|rouge/orange|||brun|noir|Tête et dos bruns. Ventre blanc. Collier noir. Demi collier blanc. Joue et front noirs. Tache blanche sur le front. Bec orange à bout noir. Se distingue du petit gravelot par l'absence du globe oculaire jaune et la présence d'une bande alaire blanche visible en vol.|Vit principalement sur les côtes et au bord des fleuves. Comme les autres goélands, c'est un charognard, mais il peut aussi adopter un comportement de prédateur envers d'autres oiseaux, des poissons ou des petits mammifères. Migrateur partiel. Niche dans toute l'Europe. Reste présent en hiver sur les côtes britanniques, la Bretagne, les côtes ibériques.|Bords de rivières, zones humides|Littoral||FIN
Grand Harle|Harle bièvre|Mergus merganser|Common Merganser|ANSERIFORMES: Anatidae|62|Cygnes, oies, canards||autres becs droits|rouge/orange||rouge/orange|||blanc|noir|Tête noire à reflets verts. Dos noir. Flanc, ventre et cou blancs. Femelle grise à tête rousse. Bec pointu orange. Pattes orange.||Bords de rivières, zones humides|||FIN
Grand Labbe||Stercorarius skua|Great Skua|CHARADRIIFORMES: Stercorariidae|58|Labbes||mouette|noir||noir|||brun||Corps brun. Bout des ailes noir avec une bande blanche. Tête mouchetée de blanc. Bec légèrement crochu noir. Pattes noires.||Littoral|||FIN
Grand Tétras|Grand coq de bruyère|Tetrao urogallus|Western Capercaillie|GALLIFORMES: Phasianidae|86|Gallinacés||crochu|blanc||gris|||noir|rouge/orange|Cou et tête noirs. Sourcil rouge chez le mâle. Reflets bruns sur le dos et les ailes et bleu-vert sur la gorge. Bec blanchâtre. Femelle brune mouchetée noir, blanc et roux, avec la gorge rousse.||Forêts et landes|||FIN
Grand-duc d'Europe||Bubo bubo|Eurasian Eagle-Owl|STRIGIFORMES: Strigidae|67|Chouettes, hiboux||crochu|noir|||||brun||Dos brun noirâtre. Gorge brune striée de noir. Disque facial gris formant un V au niveau du front. Grandes aigrettes. Oeil orange. Bec noir.||Montagnes et roches|||FIN
Grande Aigrette||Ardea alba|Great Egret|PELECANIFORMES: Ardeidae|90|Grands échassiers||droit et long|jaune|noir|noir|||blanc||Corps entièrement blanc. Le bec est normalement jaune, mais peut virer de l'orange au noir en période nuptiale, avec des lores verts à la base. Pattes noires.||Bords de rivières, zones humides||Casmerodius albus|FIN
Grande Outarde|Outarde barbue|Otis tarda|Great Bustard|OTIDIFORMES: Otididae|90|Autres||autres becs droits|||noir|||brun||Dos brun moucheté de noir. Base du cou et queue rousses. Tête et cou gris. Ventre blanc. Moustache blanche.||Champs et bocages|||FIN
Gravelot à collier interrompu||Charadrius alexandrinus|Kentish Plover|CHARADRIIFORMES: Charadriidae|16|Limicoles||fin et court|noir||noir|||brun||Dos brun. Calotte brune avec une tache noire à l'avant. Front blanc. Collier blanc. Demi-collier noir. Ventre blanc. Bec noir.||Littoral|||FIN
Grèbe à cou noir||Podiceps nigricollis|Eared Grebe|PODICIPEDIFORMES: Podicipedidae|30|Grèbes||autres becs droits|noir|||||noir|blanc|Tête, cou et dos noirs. Flancs et croupion roux. Quelques plumes crème ébouriffées sur les joues. Oeil rouge. Bec noir. ||Bords de rivières, zones humides|Littoral||FIN
Grèbe castagneux||Tachybaptus ruficollis|Little Grebe|PODICIPEDIFORMES: Podicipedidae|27|Grèbes||autres becs droits|noir|||||brun||Joue et cou roux. Tête et dos d'un brun plus sombre. Flan et croupion légèrement plus pâles. Tache blanc jaunâtre à la base du bec.||Bords de rivières, zones humides|||FIN
Grèbe esclavon||Podiceps auritus|Horned Grebe|PODICIPEDIFORMES: Podicipedidae|33|Grèbes||autres becs droits|noir|||||brun|rouge/orange|Tête et dos noirs. Cou et flanc bruns. Plumage de la tête volumineux et agrémenté de deux touffes de plumes crème, parfois hérissées. Oeil rouge. Bec noir.||Bords de rivières, zones humides|Littoral||FIN
Grèbe huppé||Podiceps cristatus|Great Crested Grebe|PODICIPEDIFORMES: Podicipedidae|48|Grèbes||autres becs droits|noir|rose|||huppe|brun||En plumage nuptial : dos gris, cou blanc, joues blanches, arrière de la tête roux, huppe noire. Les plumes de la tête sont érectiles. Oeil rouge. Bec épais rosâtre. Mâle et femelle sont semblables. Les petits sont tigrés. Gris et blanc en hiver.||Bords de rivières, zones humides|Littoral||FIN
Grèbe jougris||Podiceps grisegena|Red-necked Grebe|PODICIPEDIFORMES: Podicipedidae|43|Grèbes||autres becs droits|noir|jaune||||gris|rouge/orange|L'été, joues blanches, calotte noire et cou brun roux. Dos brun noir. Bec noir avec une tache jaune à la base. Les petits sont tigrés. Gris en hiver.||Bords de rivières, zones humides|Littoral||FIN
Grimpereau des bois||Certhia familiaris|Eurasian Treecreeper|PASSERIFORMES: Certhiidae|13|Passereaux||courbé||||||brun||Dos brun moucheté de blanc. Ventre blanc. Bec fin courbé, noirâtre. Grimpe sur les troncs d'arbres. Très semblable au grimpereau des jardins, dont il se distingue par le chant.||Forêts et landes|Villes, villages, jardins||FIN
Grimpereau des jardins||Certhia brachydactyla|Short-toed Treecreeper|PASSERIFORMES: Certhiidae|13|Passereaux||courbé||||||brun||Dos brun moucheté de blanc. Ventre blanc. Bec fin courbé, noirâtre. Grimpe sur les troncs d'arbres. Très semblable au grimpereau des bois, dont il se distingue par le chant.||Villes, villages, jardins|Forêts et landes||FIN
Grive draine||Turdus viscivorus|Mistle Thrush|PASSERIFORMES: Turdidae|27|Passereaux||fin et court|||||moucheté|brun||Dos brun gris. Dessous blanc, densément moucheté de noir. Bec noirâtre. Pattes rosées. Contrairement à la grive musicienne, les taches pectorales ne sont pas alignées.||Forêts et landes|Champs et bocages||FIN
Grive litorne||Turdus pilaris|Fieldfare|PASSERIFORMES: Turdidae|26|Passereaux||fin et court|jaune|noir|||moucheté|brun||Dos brun. Tête grise. Ventre et croupion blancs. Dessous de l'aile blanc. Gorge brune mouchetée. Léger sourcil blanc. Cercle oculaire jaune. Bec jaune.||Forêts et landes|Champs et bocages||FIN
Grive mauvis||Turdus iliacus|Redwing|PASSERIFORMES: Turdidae|21|Passereaux||fin et court||||||brun|rouge/orange|Tête et dos bruns. Dessous blanc strié de brun. Flanc et dessous de l'aile roux. Sourcils blancs.||Forêts et landes|Champs et bocages||FIN
Grive musicienne||Turdus philomelos|Song Thrush|PASSERIFORMES: Turdidae|23|Passereaux||fin et court|||||moucheté|brun||Tête et dos gris brun. Dessous blanc densément moucheté de noir. Bec noir dessus et blanchâtre dessous. Contrairement à la grive draine, les taches pectorales sont alignées.||Forêts et landes|Champs et bocages||FIN
Gros-bec casse-noyaux||Coccothraustes coccothraustes|Hawfinch|PASSERIFORMES: Fringillidae|18|Passereaux||épais et court|||rose|||brun||Tête et dos brun roux, dessous plus pâle. Marque blanche sur les ailes noires et sur la queue. Collier gris. Bec épais et court bleu-noir en été, rosâtre l'hiver. Tâche noire sous ou autour du bec.||Forêts et landes|||FIN
Grue cendrée||Grus grus|Common Crane|GRUIFORMES: Gruidae|115|Grands échassiers||droit et long|jaune||noir|||gris|noir|Corps gris. Longues pattes noires. Tête et cou noir et blanc. Peau rouge sur le dessus de la tête.|Migrations pendant l'automne. Visibles en France surtout en Champagne (Lac du Der), en Brenne et dans les Landes.|Bords de rivières, zones humides|Champs et bocages||FIN
Grue demoiselle||Anthropoides virgo|Demoiselle Crane|GRUIFORMES: Gruidae|95|Grands échassiers||droit et long|noir|jaune|noir|||gris|noir|Corps gris. Tête et cou noirs. Quelques plumes blanches partent de l'oeil vers l'arrière de la tête. Pattes gris noir. Oeil rouge. Bec jaunâtre.||Champs et bocages|||FIN
Guêpier d'Europe||Merops apiaster|European Bee-eater|CORACIIFORMES: Meropidae|28|Autres||courbé|noir||||queue longue|rouge/orange|bleu|Dos et calotte roux. Bas du dos jaune. Gorge jaune. Bandeau noir sur l'oeil. Ventre, bout des ailes et queue bleus. Bec noir et courbé.|Migrateur. Affectionne les rivières bordées de falaises sabloneuses dans lesquelles il peut creuser son nid.|Bords de rivières, zones humides|||FIN
Guifette leucoptère||Chlidonias leucopterus|White-winged Tern|CHARADRIIFORMES: Laridae|24|Sternes||autres becs droits|noir|||||gris|noir|Tête, ventre et milieu du dos noirs. Dessous des ailes partiellement noir. Dessus des ailes gris. Bec rougeâtre qui paraît plutôt noir. Pattes orange.||Bords de rivières, zones humides|||FIN
Guifette moustac||Chlidonias hybrida|Whiskered Tern|CHARADRIIFORMES: Laridae|24|Sternes||autres becs droits|rouge/orange||rouge/orange|||gris|noir|Corps et ailes grisâtres. Joues blanches. Calotte noire qui s'estompe l'hiver. Bec et pattes noires en hiver, rougeâtres le reste de l'année. Les jeunes ont des ailes mouchetées de bruns et sont dépourvus de calotte noire (elle est grisâtre). Attention à ne pas confondre avec les sternes, plus communes, qui ont le dessous plus clair.|Vit et niche dans les marais et étangs d'eau douce. Pêche en piqué. Oiseau migrateur qui niche en Europe dans des zones très localisées. En France, 10 % des effectifs nichent dans les étangs de la Brenne.|Bords de rivières, zones humides|||FIN
Guifette noire||Chlidonias niger|Black Tern|CHARADRIIFORMES: Laridae|24|Sternes||autres becs droits|noir|||||gris|noir|Tête et ventre noirs. Dos gris. Le dessous devient blanc en hiver. Bec noir. ||Bords de rivières, zones humides|||FIN
Guillemot à miroir||Cepphus grylle|Black Guillemot|CHARADRIIFORMES: Alcidae|34|Pingouins, guillemots, macareux||autres becs droits|noir||rouge/orange|||noir|blanc|Complètement noir avec deux taches blanches symétriques au niveau des ailes. Gris en hiver. Bec noir, pattes rouges.||Littoral|||FIN
Guillemot de Brünnich||Uria lomvia|Thick-billed Murre|CHARADRIIFORMES: Alcidae|42|Pingouins, guillemots, macareux||autres becs droits|noir||noir|||noir||Tête, cou et dos noirs. Ventre blanc. Trait blanc au niveau du bec. Bec noir, pattes noires.||Littoral|||FIN
Guillemot de Troïl||Uria aalge|Common Murre|CHARADRIIFORMES: Alcidae|42|Pingouins, guillemots, macareux||autres becs droits|noir||noir|||noir||Tête, cou et dos noirs avec une fine bande blanche sur le bas du dos. Ventre blanc. Certains sujets ont une marque blanche en forme de lunette autour de l'oeil. Bec noir. Pattes noires.||Littoral|||FIN
Gypaète barbu||Gypaetus barbatus|Lammergeier|ACCIPITRIFORMES: Accipitridae|110|Rapaces||crochu||||||noir||Tête, cou et poitrail roux. Petite barbiche noire et bande noire entre l'œil et le bec. L'œil est cerclé de rouge. Front et joues blanchâtres. Dos brun noir. Bec crochu et pattes brunâtres.||Montagnes et roches|||FIN
Harelde boréale|Harelde de Miquelon|Clangula hyemalis|Long-tailed Duck|ANSERIFORMES: Anatidae|53|Cygnes, oies, canards||canard|noir|rose|||queue longue|noir|blanc|En été, tête et poitrine noires à l'exception d'une tache blanche autour de l'oeil. Flancs blancs. Dos brun noir. En hiver, les parties noires deviennent blanches à l'exception de la poitrine et de taches faciales. Le mâle a une très longue queue. La femelle est brune sur le dessus et blanche sur le dessous. Bec noir avec une bande orange.||Bords de rivières, zones humides|Littoral||FIN
Harfang des neiges||Bubo scandiacus|Snowy Owl|STRIGIFORMES: Strigidae|59|Chouettes, hiboux||crochu|||blanc|||blanc||Mâle entièrement blanc, femelle striée de noir. Vit dans la toundra, plutôt en bord de mer.||Toundra||Nyctea scandiaca|FIN
Harle huppé||Mergus serrator|Red-breasted Merganser|ANSERIFORMES: Anatidae|55|Cygnes, oies, canards||autres becs droits|rouge/orange||||huppe|gris|noir|Tête noire avec reflets verts. Collier blanc. Gorge rousse. Flancs gris. Dos noir et blanc. La femelle est grise avec la tête rousse. Bec orange, long et pointu.||Bords de rivières, zones humides|Littoral||FIN
Harle piette||Mergellus albellus|Smew|ANSERIFORMES: Anatidae|41|Cygnes, oies, canards||canard|gris|||||gris|noir|Tête et cou blancs délimités par des traits noirs. Tache noire autour de l'oeil et sur les ailes. La femelle a une calotte brune, les joues blanches, le dos et la gorge gris. Pattes grisâtres. Bec grisâtre.||Bords de rivières, zones humides|||FIN
Héron cendré||Ardea cinerea|Grey Heron|PELECANIFORMES: Ardeidae|90|Grands échassiers||droit et long|jaune|||||gris|noir|Dos et nuque gris. Gorge et ventre blancs avec quelques stries noires. Joues blanches. Dessus de la tête gris noir. Bec jaune, gris et épais. Quelques aigrettes à l'arrière de la tête.||Bords de rivières, zones humides|||FIN
Héron garde-boeufs||Bubulcus ibis|Cattle Egret|PELECANIFORMES: Ardeidae|51|Grands échassiers||droit et long|jaune||rouge/orange|||blanc|rouge/orange|En période hivernale, le plumage est entièrement blanc. En période nuptiale, plumes orangées sur le dessus de la tête, le ventre et le dos. Bec jaune, long et puissant.||Bords de rivières, zones humides|||FIN
Héron pourpré||Ardea purpurea|Purple Heron|PELECANIFORMES: Ardeidae|80|Grands échassiers||droit et long|jaune|||||gris|rouge/orange|Dos gris. Cou roux sur les côtés avec une bande noire, blanc sur le devant avec des stries noires. Le dessus de la tête est noir. Bec noirâtre sur le dessus et jaune en dessous. Bec long et puissant.||Bords de rivières, zones humides|||FIN
Hibou des marais||Asio flammeus|Short-eared Owl|STRIGIFORMES: Strigidae|38|Chouettes, hiboux||crochu|noir||blanc|||brun||Dos brun sombre moucheté de blanc. Dessous blanc moucheté de noir. Disque facial prononcé, blanc au centre, brun sur les côté et cerclé de blanc. Bec noir, yeux jaunes. Aigrettes à peine visibles.||Champs et bocages|||FIN
Hibou moyen-duc||Asio otus|Long-eared Owl|STRIGIFORMES: Strigidae|37|Chouettes, hiboux||crochu|noir|||||brun||Dos gris brun. Devant brun moucheté de blanc. Disque facial coupé par un V frontal gris, bordé de blanc et de noir, brun sur les bords externes. Grandes aigrettes. Yeux jaunes. Bec crochu et noir.||Forêts et landes|||FIN
Hirondelle de fenêtre||Delichon urbicum|Common House-Martin|PASSERIFORMES: Hirundinidae|13|Martinets et hirondelles||fin et court|noir||blanc||queue bifide|noir||Tête, ailes et dos noir (reflets bleus). Gorge et ventre blancs. Croupion blanc caractéristique. Pattes couvertes de plumes blanches. Queue bifide noire, peu échancrée. Bec noir.||Villes, villages, jardins|||FIN
Hirondelle de rivage||Riparia riparia|Sand Swallow|PASSERIFORMES: Hirundinidae|12|Martinets et hirondelles||fin et court|noir||||queue bifide|brun||Calotte, dos et ailes brun-gris. Gorge et ventre blancs. Bande pectorale brune. Queue bifide. Bec brunâtre.||Bords de rivières, zones humides|||FIN
Hirondelle de rochers||Ptyonoprogne rupestris|Eurasian Crag-Martin|PASSERIFORMES: Hirundinidae|15|Martinets et hirondelles||fin et court|noir||noir|||brun||Tête et dos brun-gris. Dessous pâle. Taches blanches au niveau de la queue. Bec noir.||Montagnes et roches||Hirundo rupestris|FIN
Hirondelle rousseline||Cecropis daurica|Red-rumped Swallow|PASSERIFORMES: Hirundinidae|16|Martinets et hirondelles||fin et court|noir||noir||queue bifide|noir|rouge/orange|Calotte, nuque et croupion roux. Dos et ailes noires à reflets bleus. Gorge et ventre blancs. Queue bifide très échancrée. Bec noir. Espèce méditerranéenne uniquement.||Villes, villages, jardins|Montagnes et roches|Hirundo daurica|FIN
Hirondelle rustique|Hirondelle de cheminée|Hirundo rustica|Barn Swallow|PASSERIFORMES: Hirundinidae|18|Martinets et hirondelles||fin et court|noir||noir||queue bifide|noir|rouge/orange|Tache rouge au-dessus et au-dessous du bec. Bavette noire. Dos et ailes noires à reflets bleus. Ventre blanc. Tache blanche au niveau de la queue bifide très échancrée. Pattes couvertes de plumes blanches. Bec noir.||Champs et bocages|Villes, villages, jardins||FIN
Huîtrier pie||Haematopus ostralegus|Eurasian Oystercatcher|CHARADRIIFORMES: Haematopodidae|43|Limicoles||droit et long|rouge/orange||rouge/orange|||noir|blanc|Tête, cou, gorge et dos noirs. Ventre blanc. en vol, marques blanches sur les ailes. Bec, pattes et oeil rouge orangé.||Littoral|||FIN
Huppe fasciée||Upupa epops|Eurasian Hoopoe|CORACIIFORMES: Upupidae|27|Autres||courbé|||||huppe|rouge/orange||Tête et dos bruns. Huppe érectile rousse à taches noires. Les ailes et la queue sont striées de noir et blanc crème. Bec long, pointu et noirâtre. Ventre pâle.||Champs et bocages|Forêts et landes||FIN
Hypolaïs des oliviers||Hippolais olivetorum|Olive-tree Warbler|PASSERIFORMES: Acrocephalidae|17|Passereaux||fin et court||||||gris||Dessus gris brun, dessous pâle. Petit bec fin. Pattes grisâtres.|Vit surtout au sud-est de l'Europe (Balkans, Grèce).|Forêts et landes|||FIN
Hypolaïs ictérine||Hippolais icterina|Icterine Warbler|PASSERIFORMES: Acrocephalidae|13|Passereaux||fin et court||||||brun||Dessus brun olivâtre, dessous jaune pâle. Bec jaunâtre.|Europe de l'est.|Villes, villages, jardins|Champs et bocages||FIN
Hypolaïs pâle||Hippolais pallida|Eastern Olivaceous Warbler|PASSERIFORMES: Acrocephalidae|12|Passereaux||fin et court||||||brun||Dessus gris brun, dessous pâle. Bec grisâtre.|Autour de la Méditerranée.|Villes, villages, jardins|Champs et bocages||FIN
Hypolaïs polyglotte||Hippolais polyglotta|Melodious Warbler|PASSERIFORMES: Acrocephalidae|13|Passereaux||fin et court||||||brun||Dessus brun olivâtre, dessous jaune pâle. Bec jaunâtre.|Europe de l'ouest.|Champs et bocages|Bords de rivières, zones humides||FIN
Ibis falcinelle||Plegadis falcinellus|Glossy Ibis|PELECANIFORMES: Threskiornithidae|56|Grands échassiers||courbé||||||brun||Tête cou, ventre et dos brun roux. Ailes et queue gris noir. Long bec courbé. Niche dans les Balkans.||Bords de rivières, zones humides|||FIN
Ibis sacré||Threskiornis aethiopicus|Sacred Ibis|PELECANIFORMES: Threskiornithidae|70|Grands échassiers||courbé|noir||noir|||blanc|noir|Tête, cou et bout des ailes noirs. Le reste du plumage est blanc. Long bec courbé et noir. Pattes noires.|En France, individus échappés de captivité vivant sur la côte Atlantique.|Bords de rivières, zones humides|||FIN
Jaseur boréal||Bombycilla garrulus|Bohemian Waxwing|PASSERIFORMES: Bombycillidae|18|Passereaux||fin et court|||||huppe|brun|jaune|Corps gris-brun. Tache jaune au bout de la queue. Bout des ailes noir avec des taches jaunes, blanches et rouges plus ou moins apparentes selon les individus. Bandeau noir sur l'oeil. Front et bas du ventre roux. Petite huppe. Bec et pattes noirs.||Forêts et landes|Villes, villages, jardins||FIN
Labbe à longue queue||Stercorarius longicaudus|Long-tailed Jaeger|CHARADRIIFORMES: Stercorariidae|38|Labbes||mouette|noir||noir||queue longue|gris|noir|Calotte noire, gorge et cou blancs, reste du corps gris, avec une longue queue effilée. Bec légèrement crochu et noir. Pattes noires.||Toundra|Littoral||FIN
